wheezy,agda-stdlib-doc,agda-stdlib,0.6-2
wheezy,agedu,agedu,8928-1
wheezy,agenda.app,agenda.app,0.42.2-1
wheezy,aggregate,aggregate,1.6-7
wheezy,aghermann,aghermann,0.6.0.1-1
wheezy,aglfn,aglfn,1.7-1
wheezy,agtl,agtl,0.8.0.3-1
wheezy,aha,aha,0.4.4-1
wheezy,ahcpd,ahcpd,0.53-1
wheezy,ahven-dbg,ahven,2.1-4
wheezy,aiccu,aiccu,20070115-15.1
wheezy,aide,aide,0.15.1-8
wheezy,aide-common,aide,0.15.1-8
wheezy,aide-dynamic,aide,0.15.1-8
wheezy,aide-xen,aide,0.15.1-8
wheezy,aiksaurus,aiksaurus,1.2.1+dev-0.12-6.1
wheezy,airport-utils,airport-utils,2-2
wheezy,airstrike,airstrike,0.99+1.0pre6a-5
wheezy,airstrike-common,airstrike,0.99+1.0pre6a-5
wheezy,aisleriot,aisleriot,1:3.4.1-1
wheezy,ajaxterm,ajaxterm,0.10-12
wheezy,aj-snapshot,aj-snapshot,0.9.6-1
wheezy,akonadi-backend-mysql,akonadi,1.7.2-3
wheezy,akonadi-backend-postgresql,akonadi,1.7.2-3
wheezy,akonadi-backend-sqlite,akonadi,1.7.2-3
wheezy,akonadiconsole,kdepim,4:4.4.11.1+l10n-3+b1
wheezy,akonadi-dbg,akonadi,1.7.2-3
wheezy,akonadi-kde-resource-googledata,akonadi-googledata,1.2.0-1+b2
wheezy,akonadi-server,akonadi,1.7.2-3
wheezy,akregator,kdepim,4:4.4.11.1+l10n-3+b1
wheezy,alacarte,alacarte,3.5.3-1
wheezy,alarm-clock,alarm-clock,1.2.5-1.2
wheezy,alarm-clock-applet,alarm-clock-applet,0.3.3-1
wheezy,aldo,aldo,0.7.6-1
wheezy,ale,ale,0.9.0.3-1.1
wheezy,alembic,alembic,0.3.4+ds-3
wheezy,alevt,alevt,1:1.6.2-5
wheezy,alevtd,xawtv,3.102-3
wheezy,alex4,alex4,1.1-5+b1
wheezy,alex4-data,alex4,1.1-5
wheezy,alex,alex,3.0.1-1
wheezy,algol68g,algol68g,2.4.1-1
wheezy,algotutor,algotutor,0.8.6-1
wheezy,alice,alice,0.19-1
